Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2015-01-02,0.0,91.93523406982422,0.0,92.18074415772834,91.09040171213434,91.1914924809673,0.0,9432000
2015-01-05,0.0,93.37940979003906,0.0,93.60325287245757,92.39737484150488,92.43347554339228,0.0,9789500
2015-01-06,0.0,95.06183624267578,0.0,95.66839187159819,94.00760551686601,94.37586238387067,0.0,18331300
2015-01-07,0.0,94.87410736083984,0.0,95.29291515629298,93.99316872524334,94.37587031076512,0.0,9762900
2015-01-08,0.0,93.6176986694336,0.0,94.13759732346074,93.451623299363,94.130380487569,0.0,8055300
2015-01-09,0.0,94.64305877685547,0.0,94.67193713741574,93.17722580830181,93.29276128668224,0.0,9398800
2015-01-12,0.0,95.18462371826172,0.0,95.53843598873061,94.53474488327585,94.59251262536816,0.0,6658100
2015-01-13,0.0,95.18462371826172,0.0,95.75506226705923,94.69360341951216,94.8741234817743,0.0,8260800
2015-01-14,0.0,95.90666961669922,0.0,96.84536478979655,95.82001252556337,96.55653720085373,0.0,12324500
2015-01-15,0.0,97.41588592529297,0.0,97.5025320622007,95.80563842726178,95.92840181198024,0.0,11454200
2015-01-16,0.0,96.17383575439453,0.0,97.24972788931265,96.0583003115104,96.99700650332812,0.0,9390500
2015-01-20,0.0,97.45187377929688,0.0,97.56018131886933,96.80922333569136,96.85254635152033,0.0,7758700
2015-01-21,0.0,96.32543182373047,0.0,97.90678819940749,96.00772599688166,97.62517754470214,0.0,9803900
2015-01-22,0.0,95.97885131835938,0.0,96.8886679531734,95.51672066000025,96.75869887022739,0.0,10200000
2015-01-23,0.0,97.3147201538086,0.0,97.56744153120133,96.86702308236949,96.97534168816571,0.0,7334600
2015-01-26,0.0,97.01868438720703,0.0,97.6180122029416,96.79484131515143,97.36527975625864,0.0,5966500
2015-01-27,0.0,97.17037200927734,0.0,98.29681575492495,96.8670885226122,98.00797696240419,0.0,8079600
2015-01-28,0.0,98.75892639160156,0.0,99.22105734603984,97.2642148717032,97.30032109056437,0.0,12230300
2015-01-29,0.0,98.1090087890625,0.0,98.68667500866079,97.81296435460091,98.28952879405779,0.0,8881400
2015-01-30,0.0,99.84921264648438,0.0,100.00807111381437,99.0549203098344,99.43763281244969,0.0,14871200
2015-02-02,0.0,99.47228240966797,0.279,99.79064179628918,98.8789853130652,98.9079220571467,0.0,13689900
2015-02-03,0.0,97.36679077148438,0.0,98.24949948392165,97.22207392780588,98.14820431755376,0.0,14008700
2015-02-04,0.0,97.53319549560547,0.0,97.67066986387535,96.31764253857993,96.58535984954815,0.0,11360400
2015-02-05,0.0,96.4623794555664,0.0,97.12079261067358,96.31043116417449,96.95438146512751,0.0,8334600
2015-02-06,0.0,94.75477600097656,0.0,95.76049587006149,94.48705877055293,95.54343172443244,0.0,13685600
2015-02-09,0.0,94.60285186767578,0.0,95.4928029469129,94.6028518676758,95.48557152167626,0.0,8025500
2015-02-10,0.0,93.85037231445312,0.0,94.40025870510632,93.6550134355283,94.16148919538567,0.0,8290700
2015-02-11,0.0,94.02399444580078,0.0,94.25553248028757,93.30769711233224,93.84310949648591,0.0,6506400
2015-02-12,0.0,93.71295166015625,0.0,94.45095488729517,93.6622985349713,93.81424687017629,0.0,12548300
2015-02-13,0.0,92.75059509277344,0.0,93.72013605068318,92.6782366760691,93.70566215927344,0.0,8325200
2015-02-17,0.0,91.3541488647461,0.0,92.56245916688813,91.10814242948199,92.46840096761818,0.0,14968800
2015-02-18,0.0,91.89681243896484,0.0,92.4249935217661,91.50610019570499,91.7593380792516,0.0,14009200
2015-02-19,0.0,91.28903198242188,0.0,92.21516221303524,91.28903198242188,91.73039178297536,0.0,8584800
2015-02-20,0.0,91.55670928955078,0.0,92.6203079533977,91.16599721051395,91.9257160620027,0.0,12502500
2015-02-23,0.0,92.60586547851562,0.0,92.73610287460451,92.00533158782285,92.02703690047584,0.0,7500500
2015-02-24,0.0,93.82142639160156,0.0,93.90824765491254,92.01981341566457,92.35987808409087,0.0,11958300
2015-02-25,0.0,94.22662353515625,0.0,94.34239260010631,93.39455684156236,93.66950561073232,0.0,8019800
2015-02-26,0.0,92.9386978149414,0.0,94.2772510441775,92.90251861192424,93.84312268865695,0.0,11020500
2015-02-27,0.0,93.7201156616211,0.0,93.78523159828224,92.8084594273392,93.35111431353265,0.0,9225100
2015-03-02,0.0,91.97443389892578,0.252,93.56932765807039,91.90193445415427,93.51857583435789,0.0,11324000
2015-03-03,0.0,91.64093780517578,0.0,92.3368891843747,91.61918465785371,91.98891072931029,0.0,8599000
2015-03-04,0.0,91.66995239257812,0.0,92.09767589513069,91.45972169763519,92.02518197988161,0.0,6478900
2015-03-05,0.0,91.5539779663086,0.0,91.98169600675402,91.27124777969128,91.72796449708876,0.0,6045000
2015-03-06,0.0,89.5313949584961,0.0,90.49558053931942,89.14717204321877,90.37958579383667,0.0,20022900
2015-03-09,0.0,90.3578109741211,0.0,90.52455198784854,89.98808474780873,90.3868096517664,0.0,8889100
2015-03-10,0.0,91.54669952392578,0.0,91.6626941970288,91.16972789820183,91.32196675845172,0.0,9277900
2015-03-11,0.0,92.21366882324219,0.0,92.40215743534057,91.43072676324014,91.53221935492432,0.0,6663100
2015-03-12,0.0,92.14845275878906,0.0,92.93864609973055,91.8657225238712,92.93864609973055,0.0,10295900
2015-03-13,0.0,91.86568450927734,0.0,92.49638760421308,91.69894354004916,91.89468317918359,0.0,7247200
2015-03-16,0.0,92.75013732910156,0.0,92.90237068790077,92.26441645508662,92.75013732910156,0.0,6374600
2015-03-17,0.0,93.51861572265625,0.0,93.5983607211735,92.99665047088277,93.19239020576455,0.0,6314000
2015-03-18,0.0,95.32371520996094,0.0,95.35270835360966,93.23585488762801,94.17829245322903,0.0,13981900
2015-03-19,0.0,94.8380126953125,0.0,95.41796414171193,94.4392877795143,95.1134863137928,0.0,9543800
2015-03-20,0.0,95.3382568359375,0.0,95.4759992305454,95.07002863288156,95.12802601281484,0.0,5953800
