Date,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2015-01-02,0.0,169.68788146972656,0.0,170.88561066355808,168.65536499501724,170.47260407367435,0.0,121465900
2015-01-05,0.0,166.62335205078125,0.0,168.81228157325947,166.31773125812248,168.64708148544278,0.0,169632600
2015-01-06,0.0,165.05397033691406,0.0,167.4494036720301,164.26099208715965,166.92901130175497,0.0,209151400
2015-01-07,0.0,167.11073303222656,0.0,167.44940147841223,165.92954017391855,166.37558176833852,0.0,125346700
2015-01-08,0.0,170.07608032226562,0.0,170.2908517797395,168.4984049909054,168.51491617689666,0.0,147217800
2015-01-09,0.0,168.71316528320312,0.0,170.5056120873232,168.10191108942752,170.48908829723226,0.0,158567300
2015-01-12,0.0,167.3915252685547,0.0,169.00226066188512,166.7885393225758,168.8453161791333,0.0,144396100
2015-01-13,0.0,166.92068481445312,0.0,169.72912357347792,165.62383853897953,168.60574554907672,0.0,214553300
2015-01-14,0.0,165.9129638671875,0.0,166.111211515272,164.0213997320499,164.91348263853635,0.0,192991100
2015-01-15,0.0,164.3931121826172,0.0,166.86288300701946,164.27747086579527,166.54900663505038,0.0,176613900
2015-01-16,0.0,166.5489959716797,0.0,166.70594044959492,164.00487456052744,164.18659841874955,0.0,211879600
2015-01-20,0.0,166.90414428710938,0.0,167.4493157598487,165.34298059986864,167.18498561405204,0.0,130991100
2015-01-21,0.0,167.74667358398438,0.0,168.22576249946007,165.97900677362105,166.44157190471358,0.0,122942700
2015-01-22,0.0,170.2412872314453,0.0,170.37343973468046,167.12721463947537,168.4983992677013,0.0,174356000
2015-01-23,0.0,169.30792236328125,0.0,170.2413212891238,169.17575722964745,169.98524661622298,0.0,117516800
2015-01-26,0.0,169.70440673828125,0.0,169.7952686930043,168.38279320153632,169.09316504647256,0.0,92009700
2015-01-27,0.0,167.46588134765625,0.0,168.60577072506626,166.63986834178553,167.6558608098982,0.0,134044600
2015-01-28,0.0,165.31825256347656,0.0,168.74620170511815,165.12827308965936,168.64708417164115,0.0,168514300
